"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1902147046548889693","Tue Mar 18 23:56:10 +0000 2025","0","Pada 18 Maret 2025 kemarin IHSG anjlok lebih dari 5% hal inj memicu trading halt oleh BEI sesuatu yang terakhir kali terjadi pada Maret 2020. Kejatuhan pasar saham ini bukan hanya berdampak pada investor tetapi juga memengaruhi ekonomi masyarakat https://t.co/hBSR5etJR4","1902147046548889693","https://pbs.twimg.com/media/GmXIp9Pa8AAWcP2.jpg","","in","Jakarta Utara, DKI Jakarta","0","1","0","https://x.com/gunawansanja/status/1902147046548889693","428174607","gunawansanja"
"1902147041725493528","Tue Mar 18 23:56:09 +0000 2025","559","Melihat berita korupsi hampir tiap saat daya beli masyarakat yg menurun anjloknya IHSG...sebagai rakyat saya hanya bisa berdoa lekas pulih bangsaku. Tolong teman2 juga ikut berdoa di bulan mulia ini. Sekali lagi ini bukan ttg 1 2 dan 3. Itu sdh selesai. Ayo terus bersuara https://t.co/J5f8t0xL3R","1902147041725493528","https://pbs.twimg.com/ext_tw_video_thumb/1902146993084100608/pu/img/jj4YqRMhJ8fHgfpS.jpg","","in","Indonesia","4","26","218","https://x.com/Hilmi28/status/1902147041725493528","65067181","Hilmi28"
"1902146999379726720","Tue Mar 18 23:55:59 +0000 2025","0","Gila IHSG turun 21 7%?","1902146999379726720","","","in","","0","1","0","https://x.com/hazelviewpoint/status/1902146999379726720","1606266207945965568","hazelviewpoint"
"1902146788402094387","Tue Mar 18 23:55:09 +0000 2025","535"," tahun ini udah daya beli menurun trus IHSG anjlok. makan dah tuh oke gas! https://t.co/tjC4dJdScH","1902146788402094387","https://pbs.twimg.com/media/GmXIbF7XwAANqop.jpg","","in","Indonesia","7","12","134","https://x.com/tanyarlfes/status/1902146788402094387","1371650588","tanyarlfes"
"1901984243523408035","Tue Mar 18 23:54:21 +0000 2025","0","@Jurigjarian75 @hnirankara Sejarah mana turunya harga ihsg menjatuhkan pemerintahan kan itu ihsg..masih ada saham saham yang positif..tahu nggak konsep ihsg...sok ahli lu...dasar gen z eh milenial","1902146587394240692","","Jurigjarian75","in","Indonesia","0","2","0","https://x.com/ASuyono471891/status/1902146587394240692","1817240237225254912","ASuyono471891"
"1902130062570430543","Tue Mar 18 23:53:58 +0000 2025","0","@irfanripaii Ambruk a wq ihsg","1902146493248913885","","irfanripaii","in","Tasikmalaya, Jawa Barat","0","0","0","https://x.com/FirmanHakim10_/status/1902146493248913885","1031980690298953729","FirmanHakim10_"
"1902146267733729645","Tue Mar 18 23:53:05 +0000 2025","0","IHSG Anjlok hingga Trading Halt BEI Minta Investor Cermat dan Rasional Ambil Keputusan https://t.co/H81m73U0C1 lewat @okezonenews","1902146267733729645","","","in","","0","0","0","https://x.com/KenCOman2/status/1902146267733729645","1275389602887417859","KenCOman2"
"1902114784109326718","Tue Mar 18 23:53:00 +0000 2025","0","@sepiberbisik IHSG itu apa kak?","1902146247185908020","","sepiberbisik","in","kepo ya ","0","0","0","https://x.com/idaramoe/status/1902146247185908020","1643738768242008065","idaramoe"
"1902146200348062038","Tue Mar 18 23:52:48 +0000 2025","0","INVESTOR BERLARIAN! IHSG TERSUNGKUR KE 6.011 EKONOMI INDONESIA DIKRITIK 'TUMBANG TANPA MUSUH'! https://t.co/WBizwHxf2S","1902146200348062038","","","in","في جاكرتا - نسوانتارا","0","0","0","https://x.com/mukroni68/status/1902146200348062038","106409090","mukroni68"
"1902146198364155998","Tue Mar 18 23:52:48 +0000 2025","0","Sptnya IHSG // IDX // bakal merah lagi hari ini karena smlm wall street di tutup turun. We will see turun nya berapa persen utk IHSG jeblok lagi gak spt kmarin. https://t.co/ClJqDgU1bL","1902146198364155998","https://pbs.twimg.com/media/GmXH3W6bMAAIerw.jpg","","in","","0","0","0","https://x.com/FahrulJan/status/1902146198364155998","1890856070","FahrulJan"
